Age Group,2015,2018,2025,2035,2045,2055,2065
20-29,153,153,142,157,155,152,157
30-39,379,396,407,371,410,404,398
40-49,1270,1208,1207,1288,1174,1299,1282
50-54,3124,3195,2929,2991,3104,2762,3204
55-59,5032,5466,5789,5120,5694,5386,5692
60-64,8837,9272,11111,10468,10747,11196,10009
65-69,17397,16354,17895,20736,18521,20722,19753
70-74,23479,28054,27222,34690,33081,34325,35984
75-79,27726,28791,38919,41128,48596,44207,50112
80-84,26840,28599,34176,41414,54603,53453,56983
85-89,15736,16851,20195,30818,34725,43019,41110
90+,6843,7180,8591,12935,18864,26951,31927
